"batch_id","run_id","agent_name","graph_name","file","line","cycle","cycle_timestamp","tool_name","tool_call_id","selected_uri","selection_mode","opportunistic_count","contingency_guidance_count","followed_top_opportunistic","followed_top_contingency_guidance","followed_any_top_guidance","top_opportunistic_target","top_contingency_guidance_target","prompt_context_id","metric_quality"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","6","0","2026-06-07T19:15:22.327+00:00","http_get","call_0999QMmKlfrGZJhnlUG7VaqQ","http://127.0.1.1:8080/maze","advisory_prompt","0","0","False","False","False",,,"prompt-0160140ec34c4a1788675a90ea96ab70","selection_event"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","25","1","2026-06-07T19:15:24.620+00:00","http_post","call_cx25dhgDoNrb8xSrg5RVI927","http://127.0.1.1:8080/cells/0","advisory_prompt","0","0","False","False","False",,,"prompt-b07cbf77ff9c4dd7923b25613d85e2a2","selection_event"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","35","2","2026-06-07T19:15:27.914+00:00","http_get","call_26VMlxntv7Zy1dBA5AFloqb9","http://127.0.1.1:8080/cells/0","advisory_prompt","0","0","False","False","False",,,"prompt-9c7604e0e72d49b5be20702caba140d8","selection_event"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","100","3","2026-06-07T19:15:29.434+00:00","http_post","call_y2xZ0F9wuxWtn2UxFFasWPla","http://127.0.1.1:8080/cells/0/2","advisory_prompt","1","0","True","False","True","http://127.0.1.1:8080/cells/0/2",,"prompt-83529625549d4b3894d9d6cd92103a4f","selection_event"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","110","4","2026-06-07T19:15:32.001+00:00","http_get","call_LCySH8SF3Uz0jjhLZe22sZTT","http://127.0.1.1:8080/cells/0/2","advisory_prompt","0","0","False","False","False",,,"prompt-cd986f535fb34425b49c35a7ca13f8c5","selection_event"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","175","5","2026-06-07T19:15:33.615+00:00","http_post","call_D3UVPSIaGwWRwTseQM2xVMxz","http://127.0.1.1:8080/cells/1/2","advisory_prompt","1","0","True","False","True","http://127.0.1.1:8080/cells/1/2",,"prompt-32ed0c8ee70e4471a2ced9df1585b835","selection_event"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","185","6","2026-06-07T19:15:35.923+00:00","http_get","call_lgayqEJt5hH3mFophqdPHfpO","http://127.0.1.1:8080/cells/1/2","advisory_prompt","0","0","False","False","False",,,"prompt-31877c0f9fdd421590ad24f4966a4596","selection_event"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","250","7","2026-06-07T19:15:37.574+00:00","http_post","call_nkWOkzY6TZeSMlEGnOGj6txp","http://127.0.1.1:8080/cells/2/2","advisory_prompt","1","0","True","False","True","http://127.0.1.1:8080/cells/2/2",,"prompt-e87e8ca74d5841f29c4c9df5a582fd62","selection_event"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","260","8","2026-06-07T19:15:40.711+00:00","http_get","call_phGMLWdbUxcXpmrKqA1ry95u","http://127.0.1.1:8080/cells/2/2","advisory_prompt","0","0","False","False","False",,,"prompt-069c117b21624efaa0a98ba6d45a61b3","selection_event"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","325","9","2026-06-07T19:15:42.263+00:00","http_post","call_zHqVuUCH5Rjh1WwVF5ikkegn","http://127.0.1.1:8080/cells/3/2","advisory_prompt","1","0","True","False","True","http://127.0.1.1:8080/cells/3/2",,"prompt-8e814ea08f3c4525b5e0336c2dbc70c1","selection_event"
