"batch_id","run_id","agent_name","graph_name","file","line","timestamp","java_event","prefix","message"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","1","2026-06-07 21:15:25,230","","[JAVA-CCRS]","2026-06-07 21:15:25,230 [JAVA-CCRS] ccrs.core.rdf.CcrsVocabularyLoader: Loading CCRS vocabulary from classpath: ccrs-vocabulary.ttl"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","2","2026-06-07 21:15:25,303","","[JAVA-CCRS]","2026-06-07 21:15:25,303 [JAVA-CCRS] ccrs.core.rdf.CcrsVocabulary: Detected simple pattern: https://kaefer3000.github.io/2021-02-dagstuhl/vocab#green, type=signifier, position=predicate, priority=0.7"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","3","2026-06-07 21:15:25,322","","[JAVA-CCRS]","2026-06-07 21:15:25,322 [JAVA-CCRS] ccrs.core.rdf.CcrsVocabulary: Compiled to FAST PATH: https://example.org/stigmark#stigmergyMarkerPattern"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","4","2026-06-07 21:15:25,326","","[JAVA-CCRS]","2026-06-07 21:15:25,326 [JAVA-CCRS] ccrs.core.rdf.CcrsVocabulary: Detected structural pattern: https://example.org/stigmark#stigmergyMarkerPattern, type=stigmergy, target=target, priority=0.8, mode=FAST PATH"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","5","2026-06-07 21:18:54,006","","[JAVA-CCRS]","2026-06-07 21:18:54,006 [JAVA-CCRS] ccrs.core.contingency.ContingencyCcrs: Creating ContingencyCcrs with default strategies"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","6","2026-06-07 21:18:54,014","","[JAVA-CCRS]","2026-06-07 21:18:54,014 [JAVA-CCRS] ccrs.core.contingency.StrategyRegistry: Registered strategy: retry"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","7","2026-06-07 21:18:54,015","","[JAVA-CCRS]","2026-06-07 21:18:54,015 [JAVA-CCRS] ccrs.core.contingency.StrategyRegistry: Registered strategy: backtrack"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","8","2026-06-07 21:18:54,024","","[JAVA-CCRS]","2026-06-07 21:18:54,024 [JAVA-CCRS] ccrs.core.contingency.StrategyRegistry: Registered strategy: stop"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","9","2026-06-07 21:18:54,078","","[JAVA-CCRS]","2026-06-07 21:18:54,078 [JAVA-CCRS] ccrs.core.contingency.ContingencyCcrsFactory: [ContingencyCcrsFactory] Loading strategy provider: ccrs.capabilities.llm.langchain4j.Langchain4jPredictionStrategyProvider"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","10","2026-06-07 21:18:54,449","","[JAVA-CCRS]","2026-06-07 21:18:54,449 [JAVA-CCRS] ccrs.core.contingency.StrategyRegistry: Registered strategy: prediction_llm"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","11","2026-06-07 21:18:54,451","","[JAVA-CCRS]","2026-06-07 21:18:54,451 [JAVA-CCRS] ccrs.capabilities.llm.langchain4j.Langchain4jPredictionStrategyProvider: [Langchain4jProvider] Registered PredictionLlmStrategy"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","12","2026-06-07 21:18:54,462","","[JAVA-CCRS]","2026-06-07 21:18:54,462 [JAVA-CCRS] ccrs.core.contingency.ContingencyCcrsFactory: [ContingencyCcrsFactory] Loading strategy provider: ccrs.capabilities.a2a.A2aConsultationStrategyProvider"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","13","2026-06-07 21:18:54,481","","[JAVA-CCRS]","2026-06-07 21:18:54,481 [JAVA-CCRS] ccrs.core.contingency.StrategyRegistry: Registered strategy: consultation"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","14","2026-06-07 21:18:54,505","","[JAVA-CCRS]","2026-06-07 21:18:54,505 [JAVA-CCRS] ccrs.capabilities.a2a.A2aConsultationStrategyProvider: [A2AProvider] Registered A2A ConsultationStrategy"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","15","2026-06-07 21:18:54,700","","[JAVA-CCRS]","2026-06-07 21:18:54,700 [JAVA-CCRS] ccrs.core.contingency.StrategyRegistry: Ordered strategies for evaluation: retry, backtrack, consultation, prediction_llm, stop"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","16","2026-06-07 21:18:54,705","","[JAVA-CCRS]","2026-06-07 21:18:54,705 [JAVA-CCRS] ccrs.core.contingency.ContingencyCcrs: [StrategySelectionPolicy] Built strategy selection model from 0/25 requested traces, 0 strategy profiles, minimumSamplesPerStrategy=2"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","17","2026-06-07 21:18:54,710","","[JAVA-CCRS]","2026-06-07 21:18:54,710 [JAVA-CCRS] ccrs.core.contingency.ContingencyCcrs: [ContingencyCcrs] Strategy evaluation order: retry(default, L1), backtrack(default, L2), consultation(default, L3), prediction_llm(default, L4), stop(default, L0)"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","18","2026-06-07 21:18:54,711","","[JAVA-CCRS]","2026-06-07 21:18:54,711 [JAVA-CCRS] ccrs.core.contingency.ContingencyCcrs: [StrategySelectionPolicy] Entering escalation level L1 with policy PARALLEL"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","19","2026-06-07 21:18:54,720","","[JAVA-CCRS]","2026-06-07 21:18:54,720 [JAVA-CCRS] ccrs.core.contingency.ContingencyCcrs: [StrategySelectionPolicy] Selection gate ALLOW retry: no current recovery suggestion exists; currentBest=0.000"
"react-ccrs-mazeV1-04-latest","001-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.java.log","20","2026-06-07 21:18:54,721","","[JAVA-CCRS]","2026-06-07 21:18:54,721 [JAVA-CCRS] ccrs.core.contingency.strategies.internal.RetryStrategy: [Retry] Not applicable - situation type is UNCERTAINTY"
