"batch_id","run_id","agent_name","graph_name","file","line","cycle","cycle_timestamp","tool_name","tool_call_id","selected_uri","selection_mode","opportunistic_count","contingency_guidance_count","followed_top_opportunistic","followed_top_contingency_guidance","followed_any_top_guidance","top_opportunistic_target","top_contingency_guidance_target","prompt_context_id","metric_quality"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","6","0","2026-06-07T15:49:41.604+00:00","http_get","call_Pmqx3oWGtBsJHuooK7a5WN56","http://127.0.1.1:8080/maze","advisory_prompt","0","0","False","False","False",,,"prompt-e7141e49cd0c40c487004dc090fb46fc","selection_event"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","24","1","2026-06-07T15:49:45.118+00:00","http_post","call_vAbZJB4R90Klf8R1IQat4SB9","http://127.0.1.1:8080/cells/0","advisory_prompt","0","0","False","False","False",,,"prompt-fba91fa622bf44f397e370106ccf5619","selection_event"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","33","2","2026-06-07T15:49:49.152+00:00","http_get","call_luCKqkUYGvDBBlfhhRIr8X8X","http://127.0.1.1:8080/cells/0","advisory_prompt","0","0","False","False","False",,,"prompt-6c3390a8377a4293b375e7ae9b086175","selection_event"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","97","3","2026-06-07T15:49:50.768+00:00","http_post","call_iyVsHEn7n29MOODXYYvyxLap","http://127.0.1.1:8080/cells/0/2","advisory_prompt","1","0","True","False","True","http://127.0.1.1:8080/cells/0/2",,"prompt-5351d274bae24d71aead0e0806cbc40f","selection_event"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","106","4","2026-06-07T15:49:52.735+00:00","http_get","call_5ykJ5wsheeZ4c6PIjAIoTZ3F","http://127.0.1.1:8080/cells/0/2","advisory_prompt","0","0","False","False","False",,,"prompt-6f51a5d97f71438f8d02e4c6f3f0d112","selection_event"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","170","5","2026-06-07T15:49:54.297+00:00","http_post","call_znkmthQ8PPCvgtgb4AXeiYh9","http://127.0.1.1:8080/cells/1/2","advisory_prompt","1","0","True","False","True","http://127.0.1.1:8080/cells/1/2",,"prompt-051567286f2c4dc7af6bd301c08500cf","selection_event"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","179","6","2026-06-07T15:49:56.325+00:00","http_get","call_OYqbiUdU4JJ7gxs50uYPfwR0","http://127.0.1.1:8080/cells/1/2","advisory_prompt","0","0","False","False","False",,,"prompt-eb7777f1d8464135807a051957c7fa56","selection_event"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","243","7","2026-06-07T15:49:57.858+00:00","http_post","call_aawI5lCATqCvmb0qEr1jb1sj","http://127.0.1.1:8080/cells/2/2","advisory_prompt","1","0","True","False","True","http://127.0.1.1:8080/cells/2/2",,"prompt-9105ee06914444b9a56e2c0e62236384","selection_event"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","252","8","2026-06-07T15:50:00.008+00:00","http_get","call_w5q2etVbIsqWjkZf5sWk9gxX","http://127.0.1.1:8080/cells/2/2","advisory_prompt","0","0","False","False","False",,,"prompt-1ed105b7fcf74bb6bb58d4ccc20254a2","selection_event"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","316","9","2026-06-07T15:50:01.671+00:00","http_post","call_oqQw2YYOW6RekuqZ1Yzk3Hio","http://127.0.1.1:8080/cells/3/2","advisory_prompt","1","0","True","False","True","http://127.0.1.1:8080/cells/3/2",,"prompt-1604f60c5e2a47fc9a50ae9c80802083","selection_event"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","325","10","2026-06-07T15:50:03.647+00:00","http_get","call_sl0uwabYSdjDERHVMGOGeak3","http://127.0.1.1:8080/cells/3/2","advisory_prompt","0","0","False","False","False",,,"prompt-20082271cc8c418a87f853026097d8db","selection_event"
