"batch_id","run_id","agent_name","file","line","timestamp","tool_call_id","action_type","target","outcome","http_status","http_ok","response_length","content_type","error","error_type","result_line","result_timestamp"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","7","2026-06-25 19:26:09,078","call_zHEw0hzNWuArwUQKI1ItDqnI","http_get","http://127.0.1.1:8080/maze","success","200","True","1014","text/turtle",,,"8","2026-06-25 19:26:09,104"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","12","2026-06-25 19:26:13,693","call_qJ8u7RsOj8mobnx5sTugraZ4","http_post","http://127.0.1.1:8080/cells/0","success","201","True","44","text/plain;charset=iso-8859-1",,,"13","2026-06-25 19:26:13,809"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","18","2026-06-25 19:26:15,772","call_CieD6m2xLWbwHTf8LVDZzmgr","http_get","http://127.0.1.1:8080/cells/0","success","200","True","1413","text/turtle",,,"19","2026-06-25 19:26:15,801"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","24","2026-06-25 19:26:18,522","call_RRCg4bRaHHeOvY35e77LZ5ks","http_post","http://127.0.1.1:8080/cells/0/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"25","2026-06-25 19:26:18,729"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","30","2026-06-25 19:26:20,776","call_600wiINpzneIoSqBRQoLg7i1","http_get","http://127.0.1.1:8080/cells/0/2","success","200","True","1572","text/turtle",,,"31","2026-06-25 19:26:20,781"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","36","2026-06-25 19:26:23,028","call_s5SELceiNBCRBR5ukfjl8fDU","http_get","http://127.0.1.1:8080/cells/0/2","success","200","True","1572","text/turtle",,,"37","2026-06-25 19:26:23,043"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","42","2026-06-25 19:26:24,886","call_pZazGbSbukje7AZu3wIMzo42","http_get","http://127.0.1.1:8080/cells/0/2","success","200","True","1572","text/turtle",,,"43","2026-06-25 19:26:24,916"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","48","2026-06-25 19:26:28,095","call_76tf73HJIApYLPcbP5bGlqmV","http_post","http://127.0.1.1:8080/cells/1/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"49","2026-06-25 19:26:28,293"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","54","2026-06-25 19:26:30,571","call_RJ5KWRE1YgABRhywCfEOLrUW","http_get","http://127.0.1.1:8080/cells/1/2","success","200","True","1574","text/turtle",,,"55","2026-06-25 19:26:30,576"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","60","2026-06-25 19:26:33,435","call_TnU4jpMYXWDeidonksRB3Tg6","http_post","http://127.0.1.1:8080/cells/2/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"61","2026-06-25 19:26:33,567"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","66","2026-06-25 19:26:37,044","call_RH3baAnp3FnNBLRXTbHiGTzt","http_get","http://127.0.1.1:8080/cells/2/2","success","200","True","1622","text/turtle",,,"67","2026-06-25 19:26:37,053"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","72","2026-06-25 19:26:38,916","call_5FyCRNBoPTMuZVDqygrlREIF","http_get","http://127.0.1.1:8080/cells/2/2","success","200","True","1622","text/turtle",,,"73","2026-06-25 19:26:38,937"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","78","2026-06-25 19:26:40,656","call_mr6Op83GzQnQRzRlaWkzPBAA","http_get","http://127.0.1.1:8080/cells/2/2","success","200","True","1622","text/turtle",,,"79","2026-06-25 19:26:40,661"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","84","2026-06-25 19:26:42,593","call_o4z9p5dqPhjNR90WpExFkpn1","http_get","http://127.0.1.1:8080/cells/2/2","success","200","True","1622","text/turtle",,,"85","2026-06-25 19:26:42,612"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","90","2026-06-25 19:26:44,526","call_p8sclNLV1J0YGgXIaHbfTXQH","http_get","http://127.0.1.1:8080/cells/2/2","success","200","True","1622","text/turtle",,,"91","2026-06-25 19:26:44,544"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","96","2026-06-25 19:26:46,216","call_1IkIxB5aWmnr3Ca3ufs665aT","http_get","http://127.0.1.1:8080/cells/2/2","success","200","True","1622","text/turtle",,,"97","2026-06-25 19:26:46,221"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","102","2026-06-25 19:26:47,958","call_LFpUHw0NlX0Rzwxfb8U2zLTR","http_get","http://127.0.1.1:8080/cells/2/2","success","200","True","1622","text/turtle",,,"103","2026-06-25 19:26:47,963"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","108","2026-06-25 19:26:49,976","call_1dOkXrkZTksOPyHulnfV7NIx","http_get","http://127.0.1.1:8080/cells/2/2","success","200","True","1622","text/turtle",,,"109","2026-06-25 19:26:49,981"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","react_baseline_mazeV1_t2_20260625_192604.log","114","2026-06-25 19:26:52,692","call_rvoolMRTSEBaT7BbRqChWvEL","http_post","http://127.0.1.1:8080/cells/3/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"115","2026-06-25 19:26:52,802"
