"batch_id","run_id","agent_name","file","line","cycle","cycle_timestamp","tool_name","tool_call_id","selected_uri","selection_mode","opportunistic_count","contingency_guidance_count","followed_top_opportunistic","followed_top_contingency_guidance","followed_any_top_guidance","top_opportunistic_target","top_contingency_guidance_target","prompt_context_id","metric_quality"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","6","0","2026-06-26T18:16:50.985+00:00","http_get","call_kZ7AzJ0iRNKzPalcADm9C8bK","http://127.0.1.1:8080/maze","advisory_prompt","0","0","False","False","False",,,"prompt-b8101d04587e4dad9621b702aba7f362","selection_event"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","26","1","2026-06-26T18:16:53.141+00:00","http_post","call_uS1hYSaOw8WXfE9dyctguLZp","http://127.0.1.1:8080/cells/0","advisory_prompt","0","0","False","False","False",,,"prompt-dd3a6c230bb9436580ccafc62483b5a3","selection_event"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","38","2","2026-06-26T18:16:58.193+00:00","http_get","call_zDY6glrIDVyeiXz4T7fgFOVM","http://127.0.1.1:8080/cells/0","advisory_prompt","0","0","False","False","False",,,"prompt-0ed0edc35de04a1a87ea1aceeab32fd4","selection_event"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","74","3","2026-06-26T18:17:00.639+00:00","http_post","call_z0xFm3eA4WyIH43rOaTS1Sv6","http://127.0.1.1:8080/cells/0/2","advisory_prompt","1","0","True","False","True","http://127.0.1.1:8080/cells/0/2",,"prompt-acf3487886b94075b42489ee48fe998b","selection_event"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","86","4","2026-06-26T18:17:03.621+00:00","http_get","call_oAsgRo5b1YxRLshRdg8TtwOR","http://127.0.1.1:8080/cells/0/2","advisory_prompt","0","0","False","False","False",,,"prompt-eac0bc0c19424007954784c9dc0facb8","selection_event"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","122","5","2026-06-26T18:17:06.413+00:00","http_post","call_26xj8WQ5YgAyDNJoRZAwe3RS","http://127.0.1.1:8080/cells/1/2","advisory_prompt","1","0","True","False","True","http://127.0.1.1:8080/cells/1/2",,"prompt-85efbd24ab004c6eab68f14ba10d5299","selection_event"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","134","6","2026-06-26T18:17:09.109+00:00","http_get","call_tXDUwz18sltL19Tabxw42dxO","http://127.0.1.1:8080/cells/1/2","advisory_prompt","0","0","False","False","False",,,"prompt-4cb4404f986146fcb8879ca449de4e62","selection_event"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","170","7","2026-06-26T18:17:11.132+00:00","http_post","call_cdtOzTMmfF8vnuYUVxL7vKVZ","http://127.0.1.1:8080/cells/2/2","advisory_prompt","1","0","True","False","True","http://127.0.1.1:8080/cells/2/2",,"prompt-874521452c1148aa9a90a9cc484b9555","selection_event"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","182","8","2026-06-26T18:17:13.797+00:00","http_get","call_VoX4LpfbNllLnQkp6AFfaNzN","http://127.0.1.1:8080/cells/2/2","advisory_prompt","0","0","False","False","False",,,"prompt-de41f304b8d1470a85cb95a0ccf89a43","selection_event"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","218","9","2026-06-26T18:17:16.478+00:00","http_post","call_oJSznDlGOvtyUrEq83J3YJjW","http://127.0.1.1:8080/cells/3/2","advisory_prompt","1","0","True","False","True","http://127.0.1.1:8080/cells/3/2",,"prompt-163218cf933d4912a319964bbc22e5b5","selection_event"
